id,name,description,price,kcal,protein,fibre,tags,badge,image,featured,img_x,img_y,img_scale
1,Mexican Fiesta Bowl,"Brown rice, beans, pineapple salsa, guacamole, charred corn, nachos, veggies, hydroponic greens, chipotle dressing",349,490,19,12,"Gluten Free,High Fibre",,mexican-fiesta,TRUE,50,50,1
2,Mediterranean Bliss Bowl,"Couscous, paneer, chickpeas, beetroot hummus, roasted beetroot, pickled cabbage, veggies, hydroponic greens, tahini dressing",349,510,23,14,High Protein,Most Loved,mediterranean-bliss,TRUE,50,50,1
3,Umami Soba Bowl,"Soba noodles, paneer, broccoli, pickled cabbage, veggies, hydroponic greens, peanut dressing",349,500,20,12,Contains Nuts,Chef's Special,umami-soba,TRUE,50,50,1
4,Italian Harvest Bowl,"Creamy spinach pasta, herbed feta, olives, mushroom, broccoli, veggies, green goddess dressing",349,530,18,12,,,italian-harvest,TRUE,50,50,1
5,Quinoa Buddha Bowl,"Quinoa, paneer, herbed chickpeas, roasted beetroot, veggies, hydroponic greens, mango dressing",349,500,21,11,"Gluten Free,High Protein",,quinoa-buddha,TRUE,50,50,1
6,Thai Zen Bowl,"Brown rice, chilli tofu, veggies, hydroponic greens, peanut dressing",349,480,18,13,"Gluten Free,Contains Nuts",,thai-zen,TRUE,50,50,1
7,Burrito Bowl,"Brown rice, paneer, mixed beans, charred corn, guacamole, pineapple salsa, sour cream, nachos, veggies, chipotle dressing",349,550,24,13,"Gluten Free,High Protein",,burrito-bowl,FALSE,50,50,1
8,Avo Protein Bowl,"Quinoa, chilli tofu, guacamole, broccoli, pickled cabbage, veggies, hydroponic greens, honey mustard dressing",349,510,21,11,,,avo-protein,TRUE,50,50,1
9,Tropical Fruit Bowl,"Pineapple, sunmelon, Valencia orange, kiwi, blueberry, red grapes, seeds, lemon honey dressing (seasonal fruits)",299,190,3.5,6,,,tropical-fruit-salad,FALSE,50,50,1
