id,section,name,description,benefit,price,kcal,protein,sugar,badge,image
1,smoothie,Blue Mind,"Blue spirulina, mixed berries, banana, oat milk",Focus,299,210,6,22,,blue-mind
2,smoothie,Avo Clarity,"Avocado, brahmi, spinach, banana, coconut water",Clarity,299,240,5,14,,avo-clarity
3,smoothie,Purple Pulse,"Blueberry, shatavari, banana, yogurt",Energy,299,195,7,24,,purple-pulse
4,smoothie,Cocoa Core,"Cocoa, ashwagandha, banana, oat milk",Strength,299,265,8,20,,cocoa-core
5,smoothie,Going Nuts,"Peanut butter, brahmi, banana, dates, oat milk",Recovery,299,290,10,19,,going-nuts
6,coffee,Cold Brew,"Slow-steeped 18 hours, served black",,250,5,0,0,,cold-brew
7,coffee,Gingerale Cold Brew,"Cold brew, ginger ale, fresh ginger",,250,80,0,18,,gingerale-cold-brew
8,coffee,Vietnamese Cold Brew,"Cold brew with condensed milk",,250,110,2,16,,vietnamese-cold-brew
9,coffee,Iced Latte,"Espresso, cold milk, ice",,250,90,4,8,,iced-latte
